,Recipe,Ingredients
1584,Eggnog Quick Bread,baking powder
1585,Strawberry Nut Bread,oil
1587,Mocha Cream Bread,dry yeast
1588,Pina Colada Bread,salt
1589,Date Nut Bread,salt
1590,Blueberry Monkey Bread,ground cinnamon
1591,Streusel Topped Blueberry Muffins,egg
1593,Amish Friendship Bread I,baking soda
1597,Chocolate Chip Almond Bread,blanch sliver almond
1598,Hot Onion Pinwheels,egg
1599,Pumpkin Bread IV,salt
1600,"Basil, Roasted Peppers and Monterey Jack Cornbread",buttermilk
1603,Sweet Potato Bread I,water
1604,Orange Buns,orange zest
1607,Dee's Health Bread,lemon juice
1608,Oatmeal Bread I,bread flour
1609,Strawberry Bread I,package strawberry
1610,Sun Dried Tomato and Asiago Cheese Bread,tomato
1611,Hawaiian Sweet Bread,lemon extract
1616,Dilly Bread,salt
1617,Pumpkin Bread I,egg
1618,Sy's Challah,seed
1621,Italian Bread I,cheddar cheese
1622,Sunday Dinner Rolls,flour
1623,Banana Wheat Bread,vanilla extract
1625,Candied Fruit Bread,candy lemon peel
1626,Nut and Fruit Bread,milk
1627,Mother's Banana Bread,walnut
1628,Pumpernickel Bread I,cocoa powder
1630,Sun Dried Tomato Focaccia,oil
1632,Potato Bread I,dry yeast
1633,Delicious Pumpkin Bread,oil
1634,Mom's Zucchini Bread,vanilla extract
1635,Cinnamon Cranraisin Bread,salt
1636,Molasses-Oat Bran Bread,oat bran
1637,Fabulous Homemade Bread,brown sugar
1638,Persimmon Bread I,baking soda
1639,Cinnamon Carrot Bread,salt
1641,Alienated Blueberry Muffins,vanilla extract
1642,Yummy Lemon Bread,lemon juice
1643,Nick's Favorite Cherry Pecan Bread,jar maraschino cherry
1644,Swedish Rye Bread I,rye flour
1645,Bran Muffins I,baking soda
1646,Zucchini Walnut Bread,baking powder
1647,Apricot Nut Bread,walnut
1648,Babka I,vanilla extract
1649,Brazilian Banana Bread,sugar
1651,Banana Oat Muffins,oil
1652,Canadian Doughnuts,wheat flour
1655,Cardamom Bread,dry yeast
1656,Three C Bread,salt
1657,Grandma Cornish's Whole Wheat Potato Bread,warm water
1659,Strawberry Rhubarb Muffins,honey
1660,Poppy Seed Bread I,milk
1661,Zucchini Bread,baking powder
1662,Honey Wheat Bread I,wheat flour
1664,Mom's Hazelnut Special,sugar
1666,Maple Zucchini Bread,salt
1667,Chocolate Chip Orange Zucchini Bread,flour
1668,Chocolate Chip Pumpkin Bread,baking soda
1670,Chocolate Wave Zucchini Bread,salt
1672,Tomato Bread I,carrot
1673,Zucchini Bread II,baking soda
1674,Mall Pretzels,butter
1675,Soft Pretzels I,kosher salt
1679,Cottage Dill Bread,salt
1681,Parmesan Focaccia Bread,oil
1684,Coconut Bread I,milk
1686,Ciabatta,warm water
1687,Lower Fat Banana Nut Bread,vanilla extract
1688,Orange Nut Bread,baking powder
1689,Poppy Seed Bread II,vanilla extract
1690,Oatmeal Chocolate Chip Muffins,baking powder
1691,Lower Fat Banana Bread I,baking powder
1692,Sourdough Bread II,sourdough starter
1693,Parmesan Herb Bread,grate cheese
1696,Pecan Sticky Buns,salt
1701,Special Pumpkin Bread,salt
1702,4H Banana Bread,mash banana
1703,Oatmeal Blueberry Muffins,blueberry
1705,Basic Sweet Dough,melt shorten
1706,Lemon Bread,walnut
1707,Pumpkin Coconut Bread,ground clove
1709,Hazelnut Chocolate Chip Scones,almond extract
1710,Simple Whole Wheat Bread,butter
1711,Rye Beer Bread,caraway seed
1714,Banana Nut Bread I,vanilla extract
1716,Cinnamon Raisin Bread I,flour
1717,Homemade Focaccia Bread,dry rosemary
1718,Whole Wheat Bread I,salt
1722,Crazay  Bagels,oil
1723,Italian Herb Bread I,onion powder
1726,Cottage Cheese Bread I,dry yeast
1727,Nana's Nut Bread,walnut
1729,Zucchini Bread III,baking soda
1730,Cinnamon Rolls I,butter
1731,Sweet Potato Pecan Waffles,
1734,Pumpkin Bread II,ground
1735,Cranberry Pumpkin Bread,cranberry
1737,Basic Rye Bread,caraway seed
1738,Oat-N-Honey Bread,salt
1739,Mexican Style Cornbread,flour
1740,Olive Bread,sesame seed
1741,Donna's Chocolate Zucchini Bread,baking powder
1743,Calzone,mozzarella cheese
1744,Uncle Wynn's Bread Machine Rye,dry yeast
1746,Garden Herb Loaf,water
1747,Apricot Walnut Loaf,ground cardamom
1748,Panettone I,flour
1749,Potato Rosemary Rolls,bread machine yeast
1753,Italian Bread II,sesame seed
1754,New York Rye Bread,dry milk powder
1756,Pineapple Tangerine Bread,salt
1757,Downeast Maine Pumpkin Bread,ground cinnamon
1759,Pineapple Zucchini Bread,salt
1760,Walnut Raisin Scones,raisin
1761,Pumpkin Nut Muffins,butter
1762,Orange Muffins,egg
1763,Yogurt Cornbread,salt
1767,Cheddar Muffins,raisin
1770,Carolyn's Orange Rolls,butter
1771,Orange Juice Muffins with Honey Spread,honey
1775,Poppy Seed Bread III,seed
1777,Pumpkin Bread III,water
1778,Whole Wheat Zucchini Herb Bread,salt
1779,Chinky's Bibingka,mozzarella cheese
1780,Chinky's Mango Bread,lemon juice
1782,Baked Pumpkin Bread,egg
1783,Blueberry Muffins II,sugar
1784,Eggnog Quick Bread,salt
1785,Strawberry Nut Bread,walnut
1787,Mocha Cream Bread,semisweet chocolate chip
1788,Pina Colada Bread,dry yeast
1789,Date Nut Bread,flour
1790,Blueberry Monkey Bread,blueberry
1791,Streusel Topped Blueberry Muffins,vanilla extract
1793,Amish Friendship Bread I,baking powder
1797,Chocolate Chip Almond Bread,cocoa powder
1798,Hot Onion Pinwheels,onion
1799,Pumpkin Bread IV,ground cinnamon
1800,"Basil, Roasted Peppers and Monterey Jack Cornbread",egg
1803,Sweet Potato Bread I,mash sweet potato
1804,Orange Buns,salt
1807,Dee's Health Bread,wheat flour
1808,Oatmeal Bread I,egg
1810,Sun Dried Tomato and Asiago Cheese Bread,grate cheese
1811,Hawaiian Sweet Bread,egg
1816,Dilly Bread,baking soda
1817,Pumpkin Bread I,pumpkin puree
1821,Italian Bread I,onion
1823,Banana Wheat Bread,
1825,Candied Fruit Bread,blanch almond
1826,Nut and Fruit Bread,butter
1830,Sun Dried Tomato Focaccia,cheese
1833,Delicious Pumpkin Bread,egg
1834,Mom's Zucchini Bread,grate zucchini
1835,Cinnamon Cranraisin Bread,dry yeast
1837,Fabulous Homemade Bread,oil
1838,Persimmon Bread I,raisin
1839,Cinnamon Carrot Bread,grate carrot
1841,Alienated Blueberry Muffins,milk
1842,Yummy Lemon Bread,confectioner sugar
1843,Nick's Favorite Cherry Pecan Bread,
1845,Bran Muffins I,salt
1846,Zucchini Walnut Bread,grate zucchini
1848,Babka I,orange liqueur
1849,Brazilian Banana Bread,ground cinnamon
1851,Banana Oat Muffins,vanilla extract
1852,Canadian Doughnuts,lemon juice
1856,Three C Bread,grate carrot
1857,Grandma Cornish's Whole Wheat Potato Bread,sugar
1859,Strawberry Rhubarb Muffins,oil
1861,Zucchini Bread,cream
1862,Honey Wheat Bread I,bread flour
1864,Mom's Hazelnut Special,oil
1866,Maple Zucchini Bread,baking powder
1867,Chocolate Chip Orange Zucchini Bread,baking powder
1868,Chocolate Chip Pumpkin Bread,salt
1870,Chocolate Wave Zucchini Bread,baking powder
1872,Tomato Bread I,salt
1873,Zucchini Bread II,salt
1874,Mall Pretzels,coarse kosher salt
1879,Cottage Dill Bread,dry yeast
1881,Parmesan Focaccia Bread,grate cheese
1886,Ciabatta,oil
1887,Lower Fat Banana Nut Bread,salt
1888,Orange Nut Bread,baking soda
1889,Poppy Seed Bread II,lemon extract
1890,Oatmeal Chocolate Chip Muffins,salt
1892,Sourdough Bread II,sugar
1896,Pecan Sticky Buns,butter
1901,Special Pumpkin Bread,ground cinnamon
1902,4H Banana Bread,walnut
1906,Lemon Bread,sugar
1907,Pumpkin Coconut Bread,ground cinnamon
1909,Hazelnut Chocolate Chip Scones,semisweet chocolate chip
1911,Rye Beer Bread,cornmeal
1914,Banana Nut Bread I,walnut
1916,Cinnamon Raisin Bread I,milk
1922,Crazay  Bagels,warm water
1923,Italian Herb Bread I,grate romano cheese
1929,Zucchini Bread III,salt
1930,Cinnamon Rolls I,vanilla ice cream
1931,Sweet Potato Pecan Waffles,egg
1934,Pumpkin Bread II,ground cinnamon
1935,Cranberry Pumpkin Bread,pumpkin puree
1937,Basic Rye Bread,bread machine yeast
1938,Oat-N-Honey Bread,dry yeast
1939,Mexican Style Cornbread,baking powder
1941,Donna's Chocolate Zucchini Bread,baking soda
1943,Calzone,butter
1944,Uncle Wynn's Bread Machine Rye,salt
1946,Garden Herb Loaf,butter
1947,Apricot Walnut Loaf,dry milk powder
1948,Panettone I,dry currant
1949,Potato Rosemary Rolls,cornmeal
1953,Italian Bread II,cornmeal
1954,New York Rye Bread,dry yeast
1956,Pineapple Tangerine Bread,baking soda
1957,Downeast Maine Pumpkin Bread,ground
1959,Pineapple Zucchini Bread,ground allspice
1960,Walnut Raisin Scones,buttermilk
1961,Pumpkin Nut Muffins,molasses
1962,Orange Muffins,ground walnut
1963,Yogurt Cornbread,dry yeast
1970,Carolyn's Orange Rolls,sugar
1975,Poppy Seed Bread III,butter flavor extract
1977,Pumpkin Bread III,pumpkin
1978,Whole Wheat Zucchini Herb Bread,dry yeast
1979,Chinky's Bibingka,coconut milk
1980,Chinky's Mango Bread,raisin
1982,Baked Pumpkin Bread,butter
1984,Eggnog Quick Bread,ground
1989,Date Nut Bread,vanilla extract
1991,Streusel Topped Blueberry Muffins,lemon zest
1993,Amish Friendship Bread I,vanilla extract
1997,Chocolate Chip Almond Bread,almond extract
1998,Hot Onion Pinwheels,butter
1999,Pumpkin Bread IV,ground
2000,"Basil, Roasted Peppers and Monterey Jack Cornbread",cheese
2003,Sweet Potato Bread I,
2007,Dee's Health Bread,flax seed
2010,Sun Dried Tomato and Asiago Cheese Bread,dry basil
2011,Hawaiian Sweet Bread,margarine
2016,Dilly Bread,egg
2017,Pumpkin Bread I,water
2021,Italian Bread I,egg
2025,Candied Fruit Bread,
2030,Sun Dried Tomato Focaccia,dry rosemary
2033,Delicious Pumpkin Bread,walnut
2034,Mom's Zucchini Bread,walnut
2035,Cinnamon Cranraisin Bread,dry cranberry
2037,Fabulous Homemade Bread,bread flour
2039,Cinnamon Carrot Bread,
2046,Zucchini Walnut Bread,raisin
2048,Babka I,grate orange zest
2051,Banana Oat Muffins,mash banana
2052,Canadian Doughnuts,sugar
2056,Three C Bread,package flake coconut
2057,Grandma Cornish's Whole Wheat Potato Bread,wheat flour
2059,Strawberry Rhubarb Muffins,egg
2062,Honey Wheat Bread I,butter
2064,Mom's Hazelnut Special,salt
2066,Maple Zucchini Bread,grate zucchini
2067,Chocolate Chip Orange Zucchini Bread,baking soda
2068,Chocolate Chip Pumpkin Bread,semisweet chocolate chip
2070,Chocolate Wave Zucchini Bread,pumpkin pie spice
2072,Tomato Bread I,bread flour
2073,Zucchini Bread II,raisin
2086,Ciabatta,bread flour
2087,Lower Fat Banana Nut Bread,brown sugar
2088,Orange Nut Bread,sugar
2089,Poppy Seed Bread II,butter flavor extract
2092,Sourdough Bread II,salt
2096,Pecan Sticky Buns,sugar
2101,Special Pumpkin Bread,walnut
2106,Lemon Bread,lemon
2107,Pumpkin Coconut Bread,ground allspice
2109,Hazelnut Chocolate Chip Scones,hazelnut
2116,Cinnamon Raisin Bread I,sugar
2122,Crazay  Bagels,chocolate
2123,Italian Herb Bread I,bread flour
2129,Zucchini Bread III,ground cinnamon
2130,Cinnamon Rolls I,brown sugar
2131,Sweet Potato Pecan Waffles,butter
2134,Pumpkin Bread II,walnut
2135,Cranberry Pumpkin Bread,oil
2139,Mexican Style Cornbread,baking soda
2141,Donna's Chocolate Zucchini Bread,almond
2146,Garden Herb Loaf,egg
2147,Apricot Walnut Loaf,dry yeast
2148,Panettone I,raisin
2149,Potato Rosemary Rolls,egg
2157,Downeast Maine Pumpkin Bread,ground clove
2159,Pineapple Zucchini Bread,walnut
2160,Walnut Raisin Scones,buttermilk
2161,Pumpkin Nut Muffins,vanilla extract
2162,Orange Muffins,melt butter
2170,Carolyn's Orange Rolls,grate orange zest
2175,Poppy Seed Bread III,almond extract
2177,Pumpkin Bread III,egg
2179,Chinky's Bibingka,condense milk
2191,Streusel Topped Blueberry Muffins,milk
2197,Chocolate Chip Almond Bread,butter
2198,Hot Onion Pinwheels,crush pepper
2199,Pumpkin Bread IV,ground clove
2200,"Basil, Roasted Peppers and Monterey Jack Cornbread",corn kernel
2207,Dee's Health Bread,crack wheat
2210,Sun Dried Tomato and Asiago Cheese Bread,ground pepper
2216,Dilly Bread,flour
2217,Pumpkin Bread I,walnut
2221,Italian Bread I,buttermilk
2225,Candied Fruit Bread,milk
2230,Sun Dried Tomato Focaccia,garlic salt
2239,Cinnamon Carrot Bread,vanilla extract
2246,Zucchini Walnut Bread,vanilla extract
2248,Babka I,grate lemon zest
2252,Canadian Doughnuts,ground cinnamon
2256,Three C Bread,maraschino cherry
2259,Strawberry Rhubarb Muffins,strawberry
2266,Maple Zucchini Bread,walnut
2267,Chocolate Chip Orange Zucchini Bread,salt
2268,Chocolate Chip Pumpkin Bread,walnut
2270,Chocolate Wave Zucchini Bread,walnut
2273,Zucchini Bread II,walnut
2286,Ciabatta,salt
2287,Lower Fat Banana Nut Bread,flour
2288,Orange Nut Bread,walnut
2289,Poppy Seed Bread II,orange juice
2292,Sourdough Bread II,baking soda
2296,Pecan Sticky Buns,ground cinnamon
2307,Pumpkin Coconut Bread,ground
2316,Cinnamon Raisin Bread I,ground cinnamon
2322,Crazay  Bagels,raspberry
2329,Zucchini Bread III,raisin
2330,Cinnamon Rolls I,butter
2331,Sweet Potato Pecan Waffles,
2334,Pumpkin Bread II,baking powder
2335,Cranberry Pumpkin Bread,orange zest
2339,Mexican Style Cornbread,salt
2341,Donna's Chocolate Zucchini Bread,grate zucchini
2346,Garden Herb Loaf,butter
2347,Apricot Walnut Loaf,walnut
2348,Panettone I,confectioner sugar
2349,Potato Rosemary Rolls,kosher salt
2357,Downeast Maine Pumpkin Bread,ground ginger
2359,Pineapple Zucchini Bread,confectioner sugar
2360,Walnut Raisin Scones,sugar
2361,Pumpkin Nut Muffins,sugar
2362,Orange Muffins,brown sugar
2375,Poppy Seed Bread III,orange juice
2379,Chinky's Bibingka,flour
2391,Streusel Topped Blueberry Muffins,flour
2397,Chocolate Chip Almond Bread,confectioner sugar
2400,"Basil, Roasted Peppers and Monterey Jack Cornbread",pepper
2407,Dee's Health Bread,seed
2410,Sun Dried Tomato and Asiago Cheese Bread,dry yeast
2416,Dilly Bread,margarine
2421,Italian Bread I,oil
2425,Candied Fruit Bread,egg
2430,Sun Dried Tomato Focaccia,mozzarella cheese
2448,Babka I,flour
2456,Three C Bread,raisin
2467,Chocolate Chip Orange Zucchini Bread,ground cinnamon
2470,Chocolate Wave Zucchini Bread,cocoa powder
2489,Poppy Seed Bread II,confectioner sugar
2492,Sourdough Bread II,bread flour
2496,Pecan Sticky Buns,
2507,Pumpkin Coconut Bread,water
2516,Cinnamon Raisin Bread I,butter
2529,Zucchini Bread III,walnut
2530,Cinnamon Rolls I,ground cinnamon
2535,Cranberry Pumpkin Bread,walnut
2547,Apricot Walnut Loaf,dry apricot
2548,Panettone I,butter
2559,Pineapple Zucchini Bread,corn syrup
2560,Walnut Raisin Scones,walnut
2561,Pumpkin Nut Muffins,pumpkin
2562,Orange Muffins,ground cinnamon
2575,Poppy Seed Bread III,sugar
2579,Chinky's Bibingka,mozzarella cheese
2591,Streusel Topped Blueberry Muffins,sugar
2597,Chocolate Chip Almond Bread,grate orange zest
