,Recipe,Prep Time,Photo URL,ingredient_0,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,method_0,method_1,method_2,method_3,method_4,method_5,method_6,method_7,method_8
201,Aromatic blackeye bean curry,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aromaticblackeyebean_73019_16x9.jpg,dry bean,tbsp cumin seed,tbsp coriander seed,tsp fennel seed,tsp fenugreek seed,stick cinnamon,crush chilli flake,tbsp groundnut oil,black mustard seed,fresh curry leaf,medium onion,clove garlic,piece fresh ginger,salt taste,boil,mash,fry,oil,salt,grind,pop,drain,simmer
202,Aromatic couscous,40,,courgette,â˝ red pepper,olive oil,couscous,orange,lemon,mixed herb parsley,tbsp black olive,tbsp pine nut,ground black pepper,,,,,mix,oil,slice,serve,char,turn,heat,rub,chop
203,Aromatic salmon cooked in coconut milk,60,,thick salmon steak,piece root ginger,large clove garlic,tomato,fresh red chilli,small yellow pepper,cardamom pod,tin coconut milk,sea salt,lime,fresh mint leaf,,,,pour,juice,salt,serve,top,sprinkle,separate,stir,
204,Aromatic pork belly hotpot,150,,belly pork,stock ( available,spring onion,light soy sauce,chinese rice wine,rice wine vinegar,brown ) sugar,star anise,fresh ginger root,dry chilli flake,,,,,boil,warm,simmer,drain,slice,skim,serve,can,chunk
205,Aromatic sweet potato crème brûlée,30,,½ sweet potato,oz double cream,green cardamom pod,freshly grate nutmeg,ground ginger,tbsp caster sugar,free-range egg yolk,,,,,,,,pour,boil,thicken,blend,simmer,sprinkle,serve,reduce,heat
206,Aromatic Thai green chicken and autumn vegetable curry,60,,tbsp olive oil,onion,garlic clove,piece fresh ginger,chicken thigh,green curry paste,½ butternut squash,large sweet potato,small aubergine,cut chunk,oz coconut milk,oz chicken stock,oz double cream,bean cut,dough,garnish,roll,bread,fry,oil,salt,serve,heat
207,Arroz verde,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/arroz_verde_49624_16x9.jpg,fish bone,onion,fennel bulb,celery,carrot,button mushroom,sprig fresh thyme,tbsp olive oil,shallot,garlic clove,( see ),chopped flatleaf parsley,tsp salt,short-grain paella rice,boil,mix,simmer,oil,fry,salt,serve,pit,top
208,Arrabiata pork meatball spaghetti,30,,x tomato,virgin olive oil,garlic clove,dry chilli flake,chopped fresh basil,ground black pepper,tsp caster sugar,pork mince,streaky bacon,tsp thyme leaf,tbsp flatleaf parsley,dry spaghetti,,,thicken,boil,mix,warm,fry,simmer,oil,salt,drain
209,Artichoke and broad bean risotto,60,,baby purple artichoke,lemon,virgin olive oil,butter,shallot,garlic clove,sprig fresh thyme,risotto rice,oz white wine,chicken vegetable stock,broad bean,vegetarian alternative ),chopped fresh chive,oz double cream,process,fry,heat,cool,top,boil,simmer,cut,season
210,"Artichoke, broad bean and pea risotto",60,,lemon,globe artichoke,vegetable stock,butter,tbsp olive oil,onion,garlic clove,arborio carnaroli rice,dry white wine,fresh broad bean,fresh pea,small unwaxed lemon,tsp salt,turn black peppermill,boil,melt,juice,sweat,oil,prepare,peel,salt,drain
211,Artichoke and lemon dip,30,,hard cheese ),large garlic clove,grill artichoke heart,small preserve lemon,handful parsley leaf,virgin olive oil,squeeze lemon juice,ground black pepper,,,,,,,juice,oil,salt,drain,preserve,season,sprinkle,,
212,Artichoke and three cheese pizza,150,,strong white flour,â˝ tsp salt,tsp caster sugar,fresh yeast ),oz water,oil,tbsp olive oil,onion,garlic clove,chopped tomato,tsp caster sugar,bunch fresh basil,violet baby artichoke,buffalo mozzarella,thicken,mix,fry,rise,heat,top,cool,boil,roll
213,Artichoke à la Parisienne with bordelaise sauce,30,,banana shallot,oz olive oil,thyme,butter,bottle red wine,oz veal stock,baby artichoke,lemon,slice prosciutto cotto,burrata,ground black pepper,,,,dice,garnish,mix,juice,sweat,oil,raw,salt,peel
214,Artichoke salad with beef carpaccio,30,,beef fillet,tbsp olive oil,chopped fresh oregano,virgin olive oil,baby violet artichoke,jerusalem artichoke,lemon,tsp dijon mustard,white wine vinegar,virgin olive oil,tbsp olive oil,slice white bread,tbsp flatleaf parsley,toast pine nut,mix,juice,roll,bread,drizzle,fry,oil,salt,drain
215,Artichokes à la Barigoule,30,,oz olive oil,pearl onion,smoke bacon lardons,carrot,baby artichoke,baby turnip,button mushroom,long baby radish,garlic clove,dry white wine,oz chicken stock,fresh flatleaf parsley,loaf crusty bread,ground black pepper,bread,oil,fry,simmer,salt,serve,reduce,heat,season
216,Artichokes Romana style,60,,artichoke,lemon,garlic clove,tbsp salt,anchovy fillet,leaf fresh mint,leaf fresh parsley,leaf fresh marjoram,tbsp grate pecorino,tbsp breadcrumb,tbsp olive oil,potato,oz white wine,oz vegetable stock,trim,mix,warm,oil,salt,bake,slice,serve,fillet
217,"Artichoke, pepper and broad bean salad with lemon dressing",30,,¼ onion,¼ red pepper,artichoke heart oil,chopped fresh chive,chopped fresh coriander,broad bean,½ lemon,tbsp olive oil,ground black pepper,,,,,,juice,stir,oil,salt,serve,combine,whisk,pour,separate
218,Artichoke pasta,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/artichokepasta_1398_16x9.jpg,artichoke,clove garlic,finely chopped parsley,finely chopped thyme,linguine pasta,â˝ lemon,parmesan shaving,,,,,,,,juice,warm,mash,oil,serve,toss,heat,pour,
219,Artichokes alla Romana,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/artichokesallaromana_91747_16x9.jpg,small globe artichoke,lemon,tsp fennel seed,tsp coriander seed,carrot,onion,garlic clove,celery stick,bay leaf,black peppercorn,oz white wine,tsp caster sugar,sea salt flake,oz water,fry,can,heat,cool,simmer,pop,combine,cut,season
220,Artichokes with scallops and beurre blanc,30,,lemon,baby artichoke,tbsp olive oil,ground black pepper,scallop,butter,shallot,white wine vinegar,tbsp white wine,salt butter,chopped fresh chive,tomato,,,fry,heat,strain,scallop,layer,boil,melt,simmer,cut
221,Asian-braised shin of beef with hot and sour shredded salad,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asian-braised_shin_of_98140_16x9.jpg,onion,fresh root ginger,garlic clove,tsp ground coriander,tbsp vegetable oil,dry sherry ),tbsp soy sauce,dark brown sugar,beef stock,tbsp oyster sauce,rice wine vinegar,cinnamon stick,star anise,beef shin,mix,blend,fry,shred,heat,top,boil,stew,slice
222,Artichoke with smoked bacon mayonnaise,30,,globe artichoke,lemon,salt,plain flour,smoke streaky bacon,free-range egg yolk,tsp dijon mustard,oz rapeseed oil,ground black pepper,,,,,,blend,process,fry,heat,cool,top,rise,boil,melt
223,Asian broth,30,,chicken vegetable stock,tbsp soy sauce,tbsp honey,lime,½ banana shallot,½ bird's-eye chilli,½ pak choi,egg noodle,½ chicken breast,handful fresh coriander,,,,,boil,garnish,juice,simmer,serve,reduce,heat,,
224,Asian meatball noodle stir-fry,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asian_meatball_noodle_42513_16x9.jpg,pork sausage,spring onion,piece root ginger,handful fresh coriander,dark soy sauce,small garlic clove,dry chilli flake,( optional ),tsp vegetable oil,carrot,dry egg noodle,handful beansprouts,,,boil,mix,roll,warm,oil,fry,peel,drain,slice
225,Asian ginger and cucumber soup with seared salmon,30,,english cucumber,fresh root ginger,oz rice vinegar,lime,tsp white miso,cold vegetable stock,spring onion,bag baby spinach,virgin rapeseed oil,salmon fillet,salt,tbsp sherry vinegar,small green chilli,tsp sesame seed,marinate,blend,fry,shred,heat,cool,combine,season,cut
226,Asian pork salad,0,,spring onion,garlic clove,thai shallot,dark soy sauce,tbsp fish sauce,pork belly,tbsp fish sauce,tbsp rice vinegar,soft brown sugar,red chilli,garlic clove,lime,thin rice noodle,beansprouts,mix,marinate,drizzle,simmer,serve,can,char,grill,toss
227,Asian noodle salad,40,,noodle,tbsp olive oil,â˝ mango,salad onion,red chilli,ground black pepper,,,,,,,,,oil,toss,season,serve,,,,,
228,Asian sesame beef fillet with orange and vegetable salad,30,,tbsp sesame oil,fillet steak,tbsp sesame seed,new potato,similar small carrot,asparagus spear,tbsp soy sauce,chicken stock cube,tbsp honey,½ orange,orange,sprig fresh chervil,,,thicken,boil,garnish,juice,rub,fry,oil,salt,simmer
229,Asian noodle soup,0,,vegetable stock ),egg noodle,carrot,spring onion,clove garlic,free-range egg,ground black pepper,tsp chopped coriander,,,,,,,simmer,salt,sprinkle,serve,season,pour,stir,,
230,Asian quail salad,120,,red chilli,garlic clove,bunch coriander,tsp salt,tsp caster sugar,rice wine vinegar,quail,spring onion,bunch fresh coriander,bunch fresh mint,bunch fresh parsley,red onion,tbsp soy sauce,tbsp lemon juice,mix,marinate,juice,drizzle,salt,dry,serve,brown,roast
231,Asian spice crackers,30,,tbsp cumin seed,tbsp coriander seed,tbsp fennel seed,tsp black peppercorn,beef stock cube,tsp salt,tsp sugar,butter,tsp sesame oil,½ garlic clove,plain flour,,,,dough,melt,mix,roll,blend,oil,salt,grind,bake
232,Asian slaw,30,,½ chinese cabbage,cabbage finely shred,red onion,spring onion,pak choi,fresh beansprouts,mangetout,fresh mint leaf,bunch fresh coriander,asian supermarket ),rice wine vinegar,sea salt flake,virgin olive oil,lime,mix,drizzle,serve,combine,whisk,,,,
233,Asian-spiced rice with coriander-crusted lamb and rosemary oil,40,,long rice,tsp ground turmeric,hot chicken stock,tsp coriander seed,cardamom pod,butter,fresh coriander leaf,tsp coriander seed,tsp white peppercorn,lamb chop,tbsp olive oil,garlic clove,tbsp clear honey,sprig fresh rosemary,process,heat,top,boil,simmer,roast,turn,season,drizzle
234,Asian-style crabcakes with mango salsa,30,,fresh breadcrumb,crabmeat,chopped fresh chive,chilli,free-range egg,chopped fresh coriander,tbsp vegetable oil,â˝ mango,lime,red chilli,,,,,mix,juice,oil,fry,serve,heat,zest,,
235,Asian-style duck glazed with plum and soy,30,,duck breast,ground black pepper,tbsp honey,tbsp soy sauce,tsp sesame oil,plum,dry chilli flake,little gem lettuce,â˝ potato,,,,,,juice,drizzle,fry,oil,score,salt,simmer,drain,serve
236,Asian-style fish soup,30,,sea bass head,sea bass tail,hot vegetable stock,asparagus,tomato,tsp soy sauce,tsp sesame oil,shiitake mushroom,½ lime,dry chilli flake,,,,,boil,warm,simmer,serve,pour,,,,
237,Asian-style omelette with crisp noodles and sticky peppers,30,,rice noodle,lime,tbsp soy sauce,chopped fresh mint,chopped fresh coriander,free-range egg,ground black pepper,tbsp vegetable oil,rice noodle,vegetable oil,tbsp olive oil,yellow pepper,scotch bonnet chilli,garlic clove,juice,beat,bread,oil,fry,salt,drain,serve,fold
238,Asian-style tofu stir-fry ,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asianstyletofustirfr_92503_16x9.jpg,tbsp olive oil,½ lime,large chilli flake,tbsp soy sauce,tbsp honey,tbsp vegetable oil,tofu,tbsp vegetable oil,¼ onion,garlic clove,¼ red pepper,handful spinach leaf,basmati rice,,mix,marinate,oil,fry,serve,combine,heat,top,strain
239,Asian sweet and sour duck with sautéed broccoli and plum salsa,30,,½ duck breast,tbsp soy sauce,tbsp maple syrup,tbsp honey,tbsp red wine,tsp sesame oil,splash cold water,tbsp olive oil,tbsp sesame oil,½ red onion,½ head broccoli,tbsp sesame seed,tbsp sesame oil,¼ red onion,thicken,mix,juice,warm,drizzle,fry,oil,serve,roast
240,Asian-style noodle salad,30,,udon noodle,â˝ red pepper,fresh pineapple flesh,tbsp olive oil,tbsp soy sauce,tsp sesame oil,piece root ginger,tsp chilli flake,,,,,,,oil,serve,combine,whisk,pour,stir,,,
241,Asian-style pulled pork with spicy slaw,150,,tbsp soy sauce,tbsp chilli powder,chinese five-spice powder,light muscovado sugar,garlic clove,fresh root ginger,boneless pork shoulder,tbsp sesame oil,tbsp soy sauce,½ red cabbage,red onion,large carrot,red chilli,( optional ),mix,oil,serve,roast,can,toss,shred,season,toast
242,"Basil and goats' cheese-stuffed chicken with sweet potato, broccoli and roast garlic vinaigrette",30,,½ chicken breast,goat ' cheese,fresh basil leaf,ground black pepper,butter,tbsp olive oil,½ sweet potato,garlic clove,¼ onion,½ lemon,tbsp balsamic vinegar,,,,melt,steam,roll,juice,drizzle,fry,oil,salt,slice
243,Simple layered salad,30,,salad potato,bunch spring onion,½ apple,( taste ),anchovy pickle herring,half head lettuce,carrot,medium cooked beetroot,free-range egg,cornichons,sprig dill,half large cucumber,ground black pepper,,layer,boil,salt,drain,fold,season,cool,top,sprinkle
244,A soufflé omelette with three cheeses and chives,30,,large egg,) mature cheddar,parmigiano reggiano ),g ) gruyère,finely snip chive,g ) butter,mill black pepper,,,,,,,,melt,beat,warm,salt,grate,serve,fold,grill,season
245,Asparagus and anchovy twists,30,,tin anchovy fillet,tbsp olive oil,butter puff pastry,asparagus tip,free-range egg,tbsp sesame seed,,,,,,,,,mix,brush,roll,oil,bake,can,cut,sprinkle,
246,Asparagus and lettuce with prawns and sesame and soy dressing,40,,bunch asparagus,gem lettuce leaf,tbsp sesame oil,raw tiger prawn,red chilli,tbsp soy sauce,,,,,,,,,boil,drizzle,oil,fry,salt,blanch,drain,serve,turn
247,Asparagus and mushroom pastry,60,,bundle asparagus,ready roll puff-pastry,tbsp olive oil,small cube butter,large red onion,clove garlic,tbsp balsamic vinegar,tbsp cane sugar,assort mushroom,free range egg,,,,,brush,steam,grease,oil,salt,bake,drain,serve,cut
248,Asparagus and garden pea risotto,30,,tbsp olive oil,onion,risotto rice,bottle white wine,boil water ),bunch asparagus,( shell ),mature cheddar,parmesan,,,,,,boil,oil,drain,grate,serve,roast,heat,top,pour
249,Asparagus and goats' cheese puff pastry wraps with creamy wine sauce,30,,ready-rolled puff pastry,asparagus spear,goat ' cheese,fresh basil leaf,ground black pepper,free-range egg,tbsp sesame seed,oz white wine,tbsp double cream,,,,,,brush,drizzle,salt,score,cream,fold,serve,season,cut
250,Asparagus and Parma ham and praline and chocolate vol-au-vents,120,,plain flour,oz ice-cold water,cold unsalted butter,tbsp cocoa powder,egg wash ),spinach,handful basil,tbsp sunflower seed,tbsp pine nut,lemon,virgin olive oil,parmesan cheese,ground black pepper,blanch hazelnut,thicken,mix,blend,process,fry,bake,heat,cool,top
251,Asparagus bundles with truffle and chive crème fraîche,40,,asparagus,fresh chive,tub créme fraîche,tsp truffle oil,,,,,,,,,,,boil,trim,dip,oil,blanch,drain,dry,combine,serve
252,Asparagus and onion vinaigrette,30,,asparagus spear,white wine vinegar,splash white wine,â˝ red onion,ground black pepper,thyme leaf,virgin olive oil,,,,,,,,boil,drizzle,oil,drain,serve,season,heat,reduce,
253,Asparagus and poached egg puff tarts with parmesan and basil ,30,,plain flour,puff pastry,low-fat cream cheese,¼ lemon,ground black pepper,medium asparagus spear,free-range egg,medium free-range egg,parmesan,small basil leaf,( optional ),,,,mix,poach,fry,bake,can,refrigerate,rise,heat,top
254,"Asparagus, mustard and herb salad with a radish dressing",40,,bunch thin asparagus,sea salt,iced water,tsp dijon mustard,tbsp lemon juice,tbsp olive oil,radish,chopped fresh tarragon,chopped fresh chervil,chopped fresh parsley,tsp chopped chive,ground black pepper,,,boil,mix,juice,oil,salt,drain,top,cut,season
255,Asparagus and Parma ham wraps,30,,asparagus spear,tbsp olive oil,slice parma ham,asparagus spear,white wine vinegar,juice â˝ lemon,,,,,,,,,fry,oil,serve,heat,pour,,,,
256,"Asparagus, pea and parsley broth with sautéed asparagus and soft boiled egg",30,,leaf parsley leaf,butter,shallot,frozen pea,asparagus trimming,oz vegetable stock,oz double cream,tbsp parsley cress,virgin olive oil,white wine vinegar,egg,tbsp olive oil,salsify,asparagus spear,blend,fry,blanch,heat,top,strain,boil,shell,simmer
257,Asparagus 'cappuccino' soup,30,,tbsp olive oil,â˝ onion,garlic clove,asparagus,hot vegetable stock,ground black pepper,tbsp double cream,thin slice ciabatta,,,,,,,boil,blend,oil,fry,salt,simmer,serve,season,heat
258,Asparagus 'cappuccino' soup,30,,tbsp olive oil,â˝ onion,fresh rosemary leaf,handful asparagus,tbsp milk,chopped fresh parsley,ground black pepper,chopped fresh chive,,,,,,,garnish,blend,oil,fry,salt,serve,season,heat,cool
259,Asparagus with poached egg and hollandaise sauce,30,,asparagus spear,salt,white wine vinegar,egg,slice brioche,egg yolk,lemon,tbsp water,clarify butter,cayenne pepper salt,,,,,boil,steam,juice,warm,simmer,salt,serve,top,turn
260,Asparagus soup,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asparagussoup_83241_16x9.jpg,tbsp olive oil,onion,asparagus,vegetable stock ),ground black pepper,tbsp double cream,,,,,,,,,boil,blend,oil,fry,salt,simmer,season,heat,reduce
261,"Asparagus, pea, feta and mint salad",40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asparagus_pea_feta_and_41658_16x9.jpg,freshly pod pea,bunch skinny asparagus,oz feta cheese,chopped mint leaf,lemon juice,olive oil,ground black pepper,black onion seed,,,,,,,mix,salt,season,top,sprinkle,,,,
262,Asparagus quiche with smoked salmon,30,,tsp olive oil,sheet filo pastry,free-range egg,cream cheese,free-range egg,slice smoke salmon,large asparagus spear,chopped fresh chive,ground black pepper,,,,,,garnish,brush,mix,oil,press,bake,serve,sprinkle,top
263,Asparagus soup (Spargel),60,,white asparagus,unsalted butter,shallot,chicken stock,tbsp crème fraiche,egg yolk,dry fino sherry,tbsp chopped parsley,sea salt flake,white pepper,,,,,thicken,garnish,melt,mix,bread,warm,sweat,simmer,peel
264,Asparagus risotto,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asparagusrisotto_85593_16x9.jpg,asparagus spear,tbsp olive oil,shallot,garlic clove,carnaroli arborio ),oz white wine,hot vegetable stock,unsalted butter,hard cheese ),ground black pepper,hard cheese ),,,,boil,oil,fry,simmer,salt,bake,drain,serve,top
265,"Asparagus with cured ham, poached duck egg and hollandaise sauce",40,,white wine vinegar,duck egg,asparagus spear,slice air-cured ham,unsalted butter,white wine vinegar,shallot,whole black peppercorn,large egg yolk,ground black pepper,,,,,heat,cool,top,strain,boil,melt,simmer,combine,season
266,Asparagus with herb mayonnaise and crispy quail's eggs,60,,oz malt vinegar,oz cold water,quail 's egg,egg . beaten,tbsp flour,smoke bacon,breadcrumb,oz vegetable oil,chopped fresh chive,chopped fresh chervil,oz rapeseed oil,free-range egg yolk,tbsp dijon mustard,white wine vinegar,mix,blend,dip,fry,can,heat,top,boil,slice
267,"Asparagus, tomato and bread salad with soft boiled quails' eggs",40,,asparagus,handful fresh coriander,tomato,tbsp olive oil,tbsp soy sauce,tsp sesame oil,lime,crusty white bread,â˝ banana shallot,ground black pepper,quail ' egg,,,,boil,garnish,peel,serve,cut,stir,,,
268,"Asparagus soup with asparagus tips, Jersey Royal potatoes and watercress",30,,butter,shallot,sprig fresh thyme,asparagus,oz white wine,vegetable stock ),oz double cream,ground black pepper,jersey royal potato,tbsp olive oil,watercress,bunch fresh chive,,,boil,mix,blend,simmer,fry,salt,oil,serve,reduce
269,Asparagus with poached egg and bacon,30,,stalk english asparagus,dry-cured streaky bacon,sprig fresh tarragon,lemon,white wine vinegar,free-range egg yolk,butter,ground black pepper,free-range egg,( optional ),,,,,boil,trim,juice,warm,clarify,salt,blanch,drain,serve
270,Asparagus with scrambled duck eggs and chives,40,,bunch asparagus spear,tbsp olive oil,free-range duck egg,chopped fresh chive,ground black pepper,,,,,,,,,,trim,scramble,beat,oil,fry,salt,serve,roast,heat
271,Asparagus with fettuccine and smoked bacon,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asparaguswithfettucc_88830_16x9.jpg,fettuccine,tbsp vegetable oil,smoke bacon pancetta,ground black pepper,spear asparagus,large free-range egg,tbsp olive oil,parmesan,handful fresh parsley,,,,,,boil,warm,fry,oil,drain,grate,combine,serve,toss
272,Asparagus with preserved lemon and pickled chilli,40,,asparagus tip,large preserve lemon,pickle chilli,) fresh mint,freshly ground pepper,olive oil,,,,,,,,,pickle,boil,mix,drizzle,oil,drain,dry,serve,preserve
273,Asparagus with pearl barley and bacon,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/asparagus_with_pearl_43154_16x9.jpg,oz chicken stock,oz single cream,ground black pepper,butter,shallot,pearl barley,oz white wine,oz chicken stock,bunch english asparagus,bacon lardons,shell broad bean,tomato,,,blend,fry,heat,boil,melt,simmer,slice,season,cut
274,Aubergine and bean casserole,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aubergine_and_bean_82086_16x9.jpg,tbsp vegetable oil,onion,garlic clove,chestnut mushroom,aubergine,borlotti butter bean,brown sugar,tsp smoke paprika,oz vegetable stock,molasses,tomato ketchup,tbsp dijon mustard,oz sherry vinegar,chopped fresh parsley,boil,oil,fry,simmer,serve,heat,stir,,
275,Aubergine and mozzarella bake ,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aubergine_and_mozzarella_51464_16x9.jpg,tbsp olive oil,onion,garlic clove,tin chopped tomato,salt pepper,medium large aubergine,ball mozzarella,,,,,,,,thicken,mix,fry,process,bake,heat,top,layer,melt
276,Aubergine and mozzarella stacks,60,,large aubergine,olive oil,flat leaf parsley,garlic clove,lemon,chopped fresh rosemary,buffalo mozzarella,black pepper .,tbsp olive oil,shallot,fresh red chilli,garlic clove,ripe plum tomato,good sugar,mix,fry,process,bake,heat,cool,top,rise,layer
277,Aubergine and mozzarella wraps with watercress pesto,30,,slice bread,packet grill aubergine,mini mozzarella ball,basil leaf,olive oil,handful basil,packet watercress,tbsp greek-style yoghurt,pine nut,ground black pepper,tbsp olive oil,,,,roll,bread,blend,drizzle,oil,slice,heat,top,
278,Aubergine and tomato canapés,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aubergine_and_tomato_31225_16x9.jpg,medium aubergine,tbsp sunflower oil,tsp mustard seed,red onion,fresh root ginger,sundried tomato paste,½ tsp salt,green chilli,tsp caster sugar,bunch fresh coriander,( optional ),unsalted butter,¼ tsp salt,handful coriander leaf,fry,bake,can,heat,cool,top,skin,boil,melt
279,Aubergine and mushroom cannelloni,30,,banana shallot,olive oil,mixed mushroom,oz double cream,aubergine,blue cheese,plum tomato,apple cider vinegar,tbsp brown sugar,garlic clove,chilli flake,tsp tomato purée,bunch coriander,freshly ground pepper,thicken,mix,sweat,fry,heat,cool,skin,boil,melt
280,Aubergine chips with fennel yoghurt,40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aubergine_chips_with_67293_16x9.jpg,tsp coriander seed,tsp fennel seed,greek style yoghurt,mayonnaise,tsp lemon juice,large sea salt,black pepper,tsp coriander seed,tsp fennel seed,plain flour,tsp fine salt,tsp black pepper,medium free-range egg,panko breadcrumb,mix,beat,dip,fry,oil,salt,grind,drain,dry
281,Aubergine and tofu satay,30,,shallot,lemongrass stalk,small red chilli,clove garlic,fresh root ginger,lime,chopped fresh coriander,tbsp groundnut oil,packet firm tofu,aubergine,short wooden skewer,tbsp groundnut oil,shallot,clove garlic,mix,marinate,fry,heat,boil,simmer,combine,grill,cut
282,Aubergine gratin with tomato sauce and salad,60,,virgin olive oil,chopped tomato,garlic clove,fresh basil leaf,ground black pepper,aubergine,ground black pepper,tbsp olive oil,handful basil leaf,sultana,toast pine nut,large buffalo mozzarella,rocket leaf,parmesan shaving,mix,fry,heat,top,layer,roll,simmer,thin,slice
283,Aubergine and walnut caviar,60,,large aubergine,garlic clove,lemon,tbsp olive oil,finely chopped parsley,finely chopped mint,walnut,blini,sour cream,pomegranate seed,,,,,mix,peel,slice,serve,roast,can,stuff,turn,cut
284,Aubergine curry,30,,½ stalk lemongrass,garlic clove,½ red chilli,fresh coriander stalk,tsp cumin seed,oz coconut milk,oz hot water,thai aubergine,½ lime,chopped fresh coriander,,,,,garnish,juice,blend,serve,heat,pour,,,
285,Aubergine moussaka with sautéed potatoes,60,,aubergine,tbsp olive oil,large onion,garlic clove,lamb mince,plum tomato,tsp ground cumin,tsp ground cinnamon,tsp dry oregano,oz red wine,chopped fresh mint,oz chicken stock,ground black pepper,butter,thicken,fry,bake,heat,top,skin,boil,melt,simmer
286,Aubergine hummus,30,,medium aubergine,garlic clove,tbsp olive oil,chickpea,sprig rosemary,,,,,,,,,,mix,warm,blend,oil,bake,drain,serve,toast,
287,Aubergine mozzarella fritters with aubergine 'caviar',30,,vegetable oil,aubergine,ground black pepper,mozzarella ball,small bunch dill,tsp caster sugar,quick-action dry yeast,tsp cider vinegar,oz beer,plain flour,aubergine,sprig rosemary,garlic clove,½ lemon,mix,blend,dip,fry,can,heat,cool,top,skin
288,Aubergine parmigiana,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aubergine_parmigiana_57566_16x9.jpg,large aubergine,tbsp olive oil,ricotta,parmesan,mozzarella,ground black pepper,garlic clove,red onion,splash olive oil,tin chopped tomato,tsp dry oregano,oz red wine,selection italian leaf,tbsp olive oil,layer,brush,mix,oil,fry,simmer,salt,bake,slice
289,Aubergine 'parmigiana' with fresh tomato (Parmigiana alla melanzane in pomodoro fresco),30,,large,ground black pepper,virgin olive oil,small onion,fresh basil leaf,tbsp plain flour,small aubergine,free-range egg,smoke mozzarella,,,,,,thicken,dip,fry,process,bake,heat,top,layer,melt
290,Aubergine salad with fennel and orange,40,,â˝ bulb fennel,orange,oz sherry vinegar,virgin olive oil,ground black pepper,chopped fresh tarragon,aubergine,tbsp vegetable oil,large naan bread,fresh watercress leaf,,,,,mix,marinate,bread,heat,top,slice,combine,grill,season
291,"Aubergine stuffed with sausage, pine nuts and currants",60,,aubergine,virgin olive oil,½ onion,garlic clove,celery stick,½ fennel bulb,luganega pork sausage,white breadcrumb,tbsp pine nut,caper,free-range egg,tbsp dry oregano,tbsp grate pecorino,tbsp currant,mix,steam,oil,peel,salt,bake,chop,serve,can
292,Aubergine satay skewers,30,,aubergine,tsp salt,tbsp vegetable oil,oz vegetable oil,unsalted peanut,shallot,garlic clove,chilli powder,brown sugar,dark soy sauce,oz water,small red chilli,lemon,salt,thicken,mix,blend,dip,process,fry,heat,cool,boil
293,"Aubergine stuffed with chorizo, spinach, tomato and ricotta",30,,aubergine,tbsp olive oil,ground black pepper,chorizo,tomato,spinach,ricotta cheese,,,,,,,,drizzle,oil,fry,salt,chop,serve,roast,season,heat
294,Aussie olive damper bread,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aussie_olive_damper_47860_16x9.jpg,self-raising flour,sprig rosemary,â˝ tsp salt,virgin olive oil,green black olive,oil balsamic vinegar,,,,,,,,,dough,mix,bread,warm,oil,salt,bake,dry,serve
295,Autumn rice pudding with poached fruit ,60,,oz milk,oz cream,vanilla pod,pudding rice,tin condense milk,plum,brown sugar,butter,fig,tbsp caster sugar,apple,pear,whole star anise,small stick cinnamon,boil,blend,simmer,slice,serve,brown,roast,reduce,heat
296,Autumn lamb with butter beans,30,,lamb leg steak,virgin olive oil,ground black pepper,red onion,salt anchovy fillet,ripe tomato,butter bean,griddle artichoke,fresh rosemary leaf,tbsp sherry vinegar,,,,,warm,stir,oil,fry,salt,serve,combine,fillet,season
297,Avgolemono soup,150,,chicken,large carrot,celery stick,leek,bay leaf,sprig thyme,free-range egg,chicken stock,tsp salt,skinless chicken breast,orzo pasta,tbsp lemon juice,butter,handful chopped parsley,thicken,process,skim,heat,cool,strain,freeze,boil,simmer
298,Autumn pudding,0,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/autumn_pudding_30736_16x9.jpg,( conference ),( bramley ),ripe plum,fresh blackberry,caster sugar,butter,sunflower oil,slice white bread,,,,,,,bread,dip,heat,cool,top,simmer,slice,cut,brush
